candidate_id,rank,score,reasoning
CAND_0080766,15,0.7174,"Staff Machine Learning Engineer at Salesforce with 8.8 yrs exp; hands-on in Milvus, Opensearch, Elasticsearch, Sentence-Transformers; recruiter response rate 0.66."
CAND_0046525,16,0.7166,"Senior Machine Learning Engineer at Genpact AI with 6.1 yrs exp; hands-on in Embeddings, Qdrant, Elasticsearch, Faiss; recruiter response rate 0.88."
CAND_0018499,17,0.7155,"Senior Machine Learning Engineer at Zomato with 7.2 yrs exp; hands-on in Embeddings, Pinecone, Weaviate, Milvus; recruiter response rate 0.61."
CAND_0002025,18,0.7150,"Senior AI Engineer at Apple with 5.9 yrs exp; hands-on in Embeddings, Pinecone, Weaviate, Opensearch; recruiter response rate 0.80."
CAND_0062247,19,0.7127,"AI Engineer at Google with 7.3 yrs exp; hands-on in Vector Search, Pinecone, Qdrant, Elasticsearch; recruiter response rate 0.78."
CAND_0088369,20,0.7061,"Business Analyst at Pied Piper with 9.0 yrs exp; hands-on in Embeddings, Vector Search, Vector Database, Pinecone; recruiter response rate 0.59."
CAND_0094056,21,0.7061,"NLP Engineer at Rephrase.ai with 5.9 yrs exp; hands-on in Embeddings, Pinecone, Milvus, Elasticsearch; recruiter response rate 0.82."
CAND_0039838,22,0.7058,"Recommendation Systems Engineer at Amazon with 4.9 yrs exp; hands-on in Embeddings, Vector Search, Milvus, Opensearch; recruiter response rate 0.80."
CAND_0042100,23,0.7044,"Machine Learning Engineer at Freshworks with 7.3 yrs exp; hands-on in Pinecone, Elasticsearch, Rag, Ranking; recruiter response rate 0.87."
CAND_0086151,24,0.7043,"Recommendation Systems Engineer at Wysa with 7.7 yrs exp; hands-on in Embeddings, Qdrant, Opensearch, Elasticsearch; recruiter response rate 0.52."
CAND_0064326,25,0.7032,"Search Engineer at Sarvam AI with 7.6 yrs exp; hands-on in Embeddings, Pinecone, Weaviate, Milvus; recruiter response rate 0.94."
CAND_0072660,26,0.7029,"Machine Learning Engineer at Unacademy with 7.1 yrs exp; hands-on in Opensearch, Elasticsearch, Faiss, Sentence-Transformers; recruiter response rate 0.53."
CAND_0010685,27,0.7022,"NLP Engineer at Rephrase.ai with 6.7 yrs exp; hands-on in Elasticsearch, Faiss, Sentence-Transformers, Rag; recruiter response rate 0.83."
CAND_0066999,28,0.7016,"Recommendation Systems Engineer at Microsoft with 5.9 yrs exp; hands-on in Embeddings, Pinecone, Opensearch, Faiss; recruiter response rate 0.63."
CAND_0056137,29,0.7008,"Civil Engineer at Initech with 4.7 yrs exp; hands-on in Embeddings, Vector Search, Vector Database, Pinecone; recruiter response rate 0.58."
CAND_0008425,30,0.6998,"Senior NLP Engineer at Ola with 7.8 yrs exp; hands-on in Pinecone, Qdrant, Sentence-Transformers, Retrieval; recruiter response rate 0.66."
CAND_0043318,31,0.6991,"Data Scientist at Freshworks with 6.2 yrs exp; hands-on in Weaviate, Rag, Retrieval, Ranking; recruiter response rate 0.42."
CAND_0044883,32,0.6985,"AI Engineer at Mad Street Den with 6.3 yrs exp; hands-on in Embeddings, Pinecone, Elasticsearch, Faiss; recruiter response rate 0.84."
CAND_0079387,33,0.6984,"AI Engineer at Microsoft with 6.9 yrs exp; hands-on in Embeddings, Vector Search, Pinecone, Opensearch; recruiter response rate 0.81."
CAND_0039754,34,0.6981,"Senior Applied Scientist at Meta with 16.2 yrs exp; hands-on in Embeddings, Pinecone, Weaviate, Qdrant; recruiter response rate 0.81."
CAND_0007411,35,0.6974,"Senior Machine Learning Engineer at Amazon with 8.0 yrs exp; hands-on in Vector Search, Pinecone, Opensearch, Retrieval; recruiter response rate 0.12."
CAND_0091909,36,0.6970,"Machine Learning Engineer at Rephrase.ai with 6.9 yrs exp; hands-on in Embeddings, Pinecone, Qdrant, Opensearch; recruiter response rate 0.65."
CAND_0061339,37,0.6950,"Search Engineer at Rephrase.ai with 4.2 yrs exp; hands-on in Embeddings, Vector Search, Milvus, Opensearch; recruiter response rate 0.90."
CAND_0052141,38,0.6945,"Project Manager at Acme Corp with 7.1 yrs exp; hands-on in Embeddings, Vector Search, Vector Database, Pinecone; recruiter response rate 0.67."
CAND_0036598,39,0.6919,"Civil Engineer at Initech with 7.3 yrs exp; hands-on in Embeddings, Vector Search, Vector Database, Pinecone; recruiter response rate 0.61."
CAND_0011687,40,0.6918,"Senior NLP Engineer at Niramai with 7.8 yrs exp; hands-on in Embeddings, Pinecone, Weaviate, Opensearch; recruiter response rate 0.89."
CAND_0013613,41,0.6907,"Machine Learning Engineer at Adobe with 4.7 yrs exp; hands-on in Embeddings, Weaviate, Elasticsearch, Faiss; recruiter response rate 0.73."
CAND_0075062,42,0.6906,"Customer Support at Hooli with 7.2 yrs exp; hands-on in Embeddings, Vector Search, Vector Database, Pinecone; recruiter response rate 0.38."
CAND_0005260,43,0.6904,"Senior NLP Engineer at Netflix with 5.2 yrs exp; hands-on in Embeddings, Vector Search, Faiss, Rag; recruiter response rate 0.86."
CAND_0075469,44,0.6899,"Customer Support at Pied Piper with 5.4 yrs exp; hands-on in Embeddings, Vector Search, Vector Database, Pinecone; recruiter response rate 0.72."
CAND_0003977,45,0.6897,"Recommendation Systems Engineer at Google with 4.6 yrs exp; hands-on in Embeddings, Elasticsearch, Faiss, Sentence-Transformers; recruiter response rate 0.55."
CAND_0076163,46,0.6897,"NLP Engineer at Ola with 6.9 yrs exp; hands-on in Weaviate, Opensearch, Elasticsearch, Rag; recruiter response rate 0.84."
CAND_0095528,47,0.6875,"Senior Data Scientist at Netflix with 5.3 yrs exp; hands-on in Embeddings, Vector Search, Qdrant, Opensearch; recruiter response rate 0.55."
CAND_0086087,48,0.6874,"Accountant at Acme Corp with 9.4 yrs exp; hands-on in Embeddings, Vector Search, Vector Database, Pinecone; recruiter response rate 0.62."
CAND_0057563,49,0.6870,"NLP Engineer at Locobuzz with 6.8 yrs exp; hands-on in Embeddings, Opensearch, Elasticsearch, Faiss; recruiter response rate 0.83."
CAND_0060109,50,0.6862,"Civil Engineer at Hooli with 9.6 yrs exp; hands-on in Embeddings, Vector Search, Vector Database, Pinecone; recruiter response rate 0.63."
CAND_0077337,51,0.6862,"Staff Machine Learning Engineer at Paytm with 7.0 yrs exp; hands-on in Embeddings, Pinecone, Qdrant, Opensearch; recruiter response rate 0.95."
CAND_0048812,52,0.6843,"Project Manager at Infosys with 7.1 yrs exp; hands-on in Embeddings, Vector Search, Vector Database, Pinecone; recruiter response rate 0.69."
CAND_0065195,53,0.6827,"Search Engineer at CRED with 5.1 yrs exp; hands-on in Embeddings, Pinecone, Qdrant, Elasticsearch; recruiter response rate 0.80."
CAND_0036891,54,0.6822,"Civil Engineer at Initech with 9.4 yrs exp; hands-on in Embeddings, Vector Search, Vector Database, Pinecone; recruiter response rate 0.65."
CAND_0011162,55,0.6815,"Recommendation Systems Engineer at upGrad with 5.8 yrs exp; hands-on in Embeddings, Vector Search, Pinecone, Weaviate; recruiter response rate 0.75."
CAND_0060072,56,0.6814,"Staff Machine Learning Engineer at Amazon with 5.7 yrs exp; hands-on in Embeddings, Vector Search, Pinecone, Qdrant; recruiter response rate 0.10."
CAND_0055905,57,0.6809,"Senior Machine Learning Engineer at Flipkart with 8.1 yrs exp; hands-on in Embeddings, Vector Search, Opensearch, Elasticsearch; recruiter response rate 0.87."
CAND_0011432,58,0.6807,"Senior Data Scientist at Amazon with 7.6 yrs exp; hands-on in Embeddings, Pinecone, Opensearch, Elasticsearch; recruiter response rate 0.67."
CAND_0050876,59,0.6803,"Applied ML Engineer at Freshworks with 6.0 yrs exp; hands-on in Embeddings, Qdrant, Opensearch, Faiss; recruiter response rate 0.67."
CAND_0054100,60,0.6798,"Junior ML Engineer at Zoho with 6.0 yrs exp; hands-on in Vector Search, Pinecone, Weaviate, Retrieval; recruiter response rate 0.79."
CAND_0068811,61,0.6797,"Applied ML Engineer at Freshworks with 8.0 yrs exp; hands-on in Embeddings, Vector Search, Pinecone, Weaviate; recruiter response rate 0.42."
CAND_0052682,62,0.6793,"NLP Engineer at Aganitha with 6.6 yrs exp; hands-on in Embeddings, Pinecone, Faiss, Rag; recruiter response rate 0.88."
CAND_0028422,63,0.6789,"Junior ML Engineer at Yellow.ai with 5.5 yrs exp; hands-on in Vector Search, Pinecone, Opensearch, Retrieval; recruiter response rate 0.76."
CAND_0081686,64,0.6788,"Search Engineer at Netflix with 6.0 yrs exp; hands-on in Embeddings, Milvus, Elasticsearch, Faiss; recruiter response rate 0.91."
CAND_0037566,65,0.6780,"Machine Learning Engineer at LinkedIn with 6.9 yrs exp; hands-on in Embeddings, Pinecone, Elasticsearch, Rag; recruiter response rate 0.50."
CAND_0092278,66,0.6779,"Senior NLP Engineer at Microsoft with 6.8 yrs exp; hands-on in Embeddings, Vector Search, Milvus, Elasticsearch; recruiter response rate 0.07."
CAND_0096474,67,0.6776,"Civil Engineer at Wayne Enterprises with 10.8 yrs exp; hands-on in Embeddings, Vector Search, Vector Database, Pinecone; recruiter response rate 0.78."
CAND_0044855,68,0.6769,"Senior Data Scientist at Flipkart with 6.6 yrs exp; hands-on in Embeddings, Vector Search, Pinecone, Qdrant; recruiter response rate 0.57."
CAND_0041610,69,0.6758,"Recommendation Systems Engineer at Zoho with 6.7 yrs exp; hands-on in Embeddings, Pinecone, Opensearch, Elasticsearch; recruiter response rate 0.52."
CAND_0094759,70,0.6758,"Lead AI Engineer at Meta with 8.6 yrs exp; hands-on in Embeddings, Vector Search, Weaviate, Qdrant; recruiter response rate 0.11."
CAND_0088025,71,0.6739,"Staff Machine Learning Engineer at Yellow.ai with 8.6 yrs exp; hands-on in Pinecone, Elasticsearch, Rag, Retrieval; recruiter response rate 0.83."
CAND_0070316,72,0.6734,"Accountant at Wayne Enterprises with 7.0 yrs exp; hands-on in Embeddings, Vector Search, Vector Database, Pinecone; recruiter response rate 0.59."
CAND_0007412,73,0.6722,"Applied ML Engineer at Zoho with 7.4 yrs exp; hands-on in Embeddings, Pinecone, Milvus, Rag; recruiter response rate 0.76."
CAND_0067264,74,0.6721,"Customer Support at Infosys with 12.3 yrs exp; hands-on in Embeddings, Vector Search, Vector Database, Pinecone; recruiter response rate 0.65."
CAND_0016440,75,0.6720,"Civil Engineer at Infosys with 7.6 yrs exp; hands-on in Embeddings, Vector Search, Vector Database, Pinecone; recruiter response rate 0.68."
CAND_0011816,76,0.6717,"Business Analyst at Dunder Mifflin with 13.5 yrs exp; hands-on in Embeddings, Vector Search, Vector Database, Pinecone; recruiter response rate 0.31."
CAND_0086022,77,0.6713,"Senior Applied Scientist at Sarvam AI with 5.3 yrs exp; hands-on in Embeddings, Vector Search, Pinecone, Elasticsearch; recruiter response rate 0.55."
CAND_0027691,78,0.6712,"NLP Engineer at Haptik with 6.5 yrs exp; hands-on in Embeddings, Weaviate, Elasticsearch, Faiss; recruiter response rate 0.68."
CAND_0017960,79,0.6704,"Recommendation Systems Engineer at Nykaa with 7.7 yrs exp; hands-on in Embeddings, Pinecone, Qdrant, Faiss; recruiter response rate 0.72."
CAND_0035958,80,0.6704,"Customer Support at Initech with 4.1 yrs exp; hands-on in Embeddings, Vector Search, Vector Database, Pinecone; recruiter response rate 0.72."
CAND_0004005,81,0.6690,"Civil Engineer at Pied Piper with 10.9 yrs exp; hands-on in Embeddings, Vector Search, Vector Database, Pinecone; recruiter response rate 0.05."
CAND_0099806,82,0.6690,"AI Engineer at Mad Street Den with 4.6 yrs exp; hands-on in Embeddings, Weaviate, Qdrant, Elasticsearch; recruiter response rate 0.76."
CAND_0018722,83,0.6688,"Recommendation Systems Engineer at Saarthi.ai with 6.6 yrs exp; hands-on in Weaviate, Elasticsearch, Faiss, Sentence-Transformers; recruiter response rate 0.79."
CAND_0049538,84,0.6679,"Applied ML Engineer at Saarthi.ai with 5.8 yrs exp; hands-on in Embeddings, Vector Search, Milvus, Opensearch; recruiter response rate 0.72."
CAND_0053591,85,0.6678,"AI Engineer at Ola with 5.3 yrs exp; hands-on in Embeddings, Pinecone, Qdrant, Milvus; recruiter response rate 0.81."
CAND_0014440,86,0.6674,"Recommendation Systems Engineer at CRED with 6.4 yrs exp; hands-on in Qdrant, Milvus, Elasticsearch, Faiss; recruiter response rate 0.64."
CAND_0005632,87,0.6673,"Backend Engineer at Dunder Mifflin with 5.6 yrs exp; hands-on in Pinecone, Opensearch, Elasticsearch, Rag; recruiter response rate 0.68."
CAND_0039521,88,0.6673,"Search Engineer at Salesforce with 3.0 yrs exp; hands-on in Embeddings, Pinecone, Weaviate, Qdrant; recruiter response rate 0.41."
CAND_0094370,89,0.6670,"Business Analyst at Dunder Mifflin with 8.4 yrs exp; hands-on in Embeddings, Vector Search, Vector Database, Pinecone; recruiter response rate 0.60."
CAND_0081846,90,0.6669,"Lead AI Engineer at Razorpay with 6.7 yrs exp; hands-on in Embeddings, Vector Search, Qdrant, Elasticsearch; recruiter response rate 0.73."
CAND_0041149,91,0.6666,"Civil Engineer at Pied Piper with 13.7 yrs exp; hands-on in Embeddings, Vector Search, Vector Database, Pinecone; recruiter response rate 0.56."
CAND_0048584,92,0.6665,"Business Analyst at TCS with 8.0 yrs exp; hands-on in Embeddings, Vector Search, Vector Database, Pinecone; recruiter response rate 0.47."
CAND_0041669,93,0.6664,"Recommendation Systems Engineer at CRED with 8.0 yrs exp; hands-on in Embeddings, Pinecone, Weaviate, Qdrant; recruiter response rate 0.77."
CAND_0016163,94,0.6662,"Applied ML Engineer at Dream11 with 6.7 yrs exp; hands-on in Embeddings, Pinecone, Weaviate, Elasticsearch; recruiter response rate 0.72."
CAND_0023035,95,0.6660,"Project Manager at Acme Corp with 8.4 yrs exp; hands-on in Embeddings, Vector Database, Pinecone, Faiss; recruiter response rate 0.74."
CAND_0027801,96,0.6657,"NLP Engineer at InMobi with 7.4 yrs exp; hands-on in Vector Search, Milvus, Opensearch, Elasticsearch; recruiter response rate 0.65."
CAND_0054864,97,0.6652,"Business Analyst at Wipro with 5.9 yrs exp; hands-on in Embeddings, Vector Search, Vector Database, Pinecone; recruiter response rate 0.55."
CAND_0006418,98,0.6645,"Machine Learning Engineer at Verloop.io with 5.7 yrs exp; hands-on in Embeddings, Weaviate, Qdrant, Opensearch; recruiter response rate 0.92."
CAND_0096142,99,0.6640,"Applied ML Engineer at upGrad with 5.0 yrs exp; hands-on in Embeddings, Pinecone, Weaviate, Rag; recruiter response rate 0.84."
CAND_0084970,100,0.6639,"Accountant at Hooli with 6.9 yrs exp; hands-on in Embeddings, Vector Search, Vector Database, Pinecone; recruiter response rate 0.33."
